"iso","adm1","umd_tree_cover_extent_2010__ha","area__ha"
"SOM",1,0.0,1628786.71575054269982141
"SOM",2,4.608228195554338,2571051.54912774810754654
"SOM",3,9.76443144782687543,21090.6738272896945675
"SOM",4,0.0,6822187.7369902920185073
"SOM",5,88.84553851366509216,4393793.9005210934586362
"SOM",6,0.15356977751139322,4904377.41566315092687757
"SOM",7,107.78721183149523516,4503472.35782780221293984
"SOM",8,9.7545598091889125,3410605.4715997977604009
"SOM",9,17790.91742756781141981,1880481.49245618739925675
"SOM",10,109948.33662066166297675,4772234.08141033152588142
"SOM",11,0.0,5868015.01276141355922167
"SOM",12,0.0,2768181.48305770283810394
"SOM",13,5287.8400963460476507,5387056.67592933390800496
"SOM",14,6849.39376191158608671,1849904.59025470285351750
"SOM",15,6348.76871758016224646,2566709.02825754346330528
"SOM",16,0.0,3807495.59257569805596027
"SOM",17,26.90391805236382562,3397928.7479499429400474
"SOM",18,0.0,2799715.8759079832862145
